Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
| math.GR            | ps        |          6 |
| math.GR            | tex       |      23766 |
| math.GR            | withdrawn |        181 |
| math.GT            | docx      |          1 |
| math.GT            | pdf       |         96 |
| math.GT            | pdftex    |       7602 |
| math.GT            | ps        |          9 |
| math.GT            | tex       |      22625 |
| math.GT            | withdrawn |        175 |
| math.HO            | docx      |          3 |
| math.HO            | html      |          9 |
| math.HO            | pdf       |        519 |
| math.HO            | pdftex    |        848 |
| math.HO            | ps        |          3 |
| math.HO            | tex       |       2353 |
| math.HO            | withdrawn |         26 |
| math.IT            | NULL      |          2 |
| math.IT            | docx      |         12 |
| math.IT            | html      |          6 |
| math.IT            | pdf       |       1967 |
| math.IT            | pdftex    |      17337 |
| math.IT            | ps        |         10 |
| math.IT            | tex       |      28126 |
| math.IT            | withdrawn |        453 |
| math.KT            | pdf       |         17 |
| math.KT            | pdftex    |        669 |
| math.KT            | tex       |       7910 |
| math.KT            | withdrawn |         41 |
| math.LO            | docx      |          3 |
| math.LO            | html      |         13 |
| math.LO            | pdf       |        146 |
| math.LO            | pdftex    |       1350 |
| math.LO            | ps        |         26 |
| math.LO            | tex       |      14188 |
| math.LO            | withdrawn |        118 |
| math.MG            | docx      |         11 |
| math.MG            | pdf       |        140 |
| math.MG            | pdftex    |       3182 |
| math.MG            | ps        |          4 |
| math.MG            | tex       |       9723 |
| math.MG            | withdrawn |         55 |
| math.MP            | docx      |         12 |
| math.MP            | html      |         14 |
| math.MP            | pdf       |       1458 |
| math.MP            | pdftex    |      19081 |
| math.MP            | ps        |         34 |
| math.MP            | tex       |      82291 |
| math.MP            | withdrawn |        395 |
| math.NA            | docx      |          5 |
| math.NA            | html      |          4 |
| math.NA            | pdf       |        532 |
| math.NA            | pdftex    |      14766 |
| math.NA            | ps        |          9 |
| math.NA            | tex       |      14012 |
| math.NA            | withdrawn |        125 |
| math.NT            | NULL      |          1 |
| math.NT            | docx      |          5 |
| math.NT            | html      |          4 |
| math.NT            | pdf       |        422 |
| math.NT            | pdftex    |       4206 |
| math.NT            | ps        |         20 |
| math.NT            | tex       |      44683 |
| math.NT            | withdrawn |        395 |
| math.OA            | pdf       |         15 |
| math.OA            | pdftex    |       1014 |
| math.OA            | ps        |          2 |
| math.OA            | tex       |      15956 |
| math.OA            | withdrawn |         80 |
| math.OC            | docx      |          3 |
| math.OC            | html      |          2 |
| math.OC            | pdf       |       1522 |
| math.OC            | pdftex    |      16191 |
| math.OC            | ps        |          5 |
| math.OC            | tex       |      20322 |
| math.OC            | withdrawn |        271 |
| math.PR            | docx      |          2 |
| math.PR            | html      |          1 |
| math.PR            | pdf       |        424 |
| math.PR            | pdftex    |      14626 |
| math.PR            | ps        |         19 |
| math.PR            | tex       |      50795 |
| math.PR            | withdrawn |        313 |
| math.QA            | html      |          2 |
| math.QA            | pdf       |         39 |
| math.QA            | pdftex    |       2113 |
| math.QA            | ps        |         30 |
| math.QA            | tex       |      25045 |
| math.QA            | withdrawn |         86 |
| math.RA            | docx      |          2 |
| math.RA            | html      |          1 |
| math.RA            | pdf       |         88 |
| math.RA            | pdftex    |       1195 |
| math.RA            | ps        |          3 |
| math.RA            | tex       |      18784 |
| math.RA            | withdrawn |        143 |
| math.RT            | html      |          1 |
| math.RT            | pdf       |         30 |
